action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
14441;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
14442;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14442;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14442;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
14443;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
14443;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14443;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14443;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
14444;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
14444;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14444;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
14479;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
14479;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14479;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
14481;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
14481;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14481;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
14483;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14483;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14483;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14483;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
14485;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14485;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14485;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14485;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14485;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
14498;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14498;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
14498;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14498;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14498;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
14498;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
14498;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
14499;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
14499;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14500;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
14500;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
14500;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
14501;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14501;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
14501;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14501;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14501;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14501;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Environnement, énergie et mer;;
14502;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14502;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14502;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14502;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
14504;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14504;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14506;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
14506;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14506;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
14516;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
14516;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14516;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
14517;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14517;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14518;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14518;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14519;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14519;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14521;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14521;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14522;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14522;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14523;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14523;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14542;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;Préfet du Loiret
14542;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;Préfet du Loiret
14542;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;Préfet du Loiret
14546;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministre des Transports
14546;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;Ministre des Transports
14546;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;Ministre des Transports
14546;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Ministre des Transports
14546;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;Ministre des Transports
14546;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;Ministre des Transports
14546;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;Ministre des Transports
14546;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances, Environnement, énergie et mer, Affaires étrangères et développement international;;Ministre des Transports
14548;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministre des Transports
14548;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministre des Transports
14550;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14550;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
14550;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14550;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
14550;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
14550;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
14550;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Environnement, énergie et mer, Affaires étrangères et développement international;;
14552;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
14552;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14552;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14552;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
14553;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;Ministre des Transports
14553;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;Ministre des Transports
14555;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14555;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
14555;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires étrangères et développement international;;
14561;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14561;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
14561;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires étrangères et développement international;;
14562;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
14562;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
14562;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
14562;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
14563;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14563;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
14564;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
14564;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
